Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Dragonfish,,,This animal has scales.Its body can be black and red.,This animal's natural habitat is deep waters in indo-pacific oceans.,
Dragonfly,,,"This animal's skin is smooth.Its body can be black, yellow, red, orange and blue.",This animal's natural habitat is wetlands and close to water.,
Dreadnoughtus,,,,,
Drever,,,,,
Dromornis Stirtoni,,,,,
Drum Fish,,,"This animal has scales.Its body can be black, white, red, brown and silver.",,
Dubia Cockroach,,4.82802,This animal has an exoskeleton.Its body can be brown.,,
Duck,,141.62192,"This animal has feathers.Its body can be black, yellow, green, white, brown and grey.","This animal's natural habitat is rivers, lakes and woodland wetlands.",It has a pack lifestyle.
Dugong,,20.92142,This animal's skin is leather.Its body can be brown and grey.,This animal's natural habitat is warmer tropical waters and sea grass forests.,It has a solitary lifestyle.
Dumerils Boa,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be chocolate, fawn, dark, black-brown, brown and grey.",,It has a nocturnal lifestyle.
Dung Beetle,,,"This animal has an exoskeleton.Its body can be black, green and red.","This animal's natural habitat is forests, grasslands, deserts, prairies and and farmlands.",
Dungeness Crab,They usually live in groups and can be characterized as solitary. Their temperament can be characterized as solitary.Their aggression level is medium.,,"This animal has a hard outer shell.Its body can be black-brown, purple, cream, brown, grey-brown and grey.",This animal's natural habitat is sand or muddy bottoms and eelgrass beds.,It has a nocturnal lifestyle.
Dunker,,,,,
Dunkleosteus,,,,This animal's natural habitat is bottom-dweller in the devonian marine ecosystem.,
Dunnock,,,,"This animal's natural habitat is shrubs, woodlands, hedgerows and and gardens.",
Dusky Dolphin,,37.01482,"This animal's skin is smooth.Its body can be black, white, blue and grey.",This animal's natural habitat is cooler waters near continental shelves.,It has a diurnal and nocturnal lifestyle.
Dusky Shark,,0.80467,"This animal has scales.Its body can be dark, white and grey.","This animal's natural habitat is tropical, temperate waters and occur globally in temperatures between 66 to 82°f.",It has a group and solitary lifestyle.
Dutch Rabbit,They can be characterized as sociable and solitary.Their aggression level is low.,,"This animal has fur.Its body can be gold, black, chocolate, white, blue and grey.",,It has a crepuscular lifestyle.
Dutch Shepherd,,,,,
Dwarf Boa,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, fawn, white, red, olive-grey, brown, tan, grey-brown and grey.",,It has a crepuscular and nocturnal lifestyle.
Dwarf Crocodile,,17.70274,"This animal has scales.Its body can be black, yellow and grey.",This animal's natural habitat is rainforest rivers and swamps.,It has a nocturnal lifestyle.
Dwarf Gourami,,,,,It has a diurnal lifestyle.
Dwarf Hamster,,8.0467,"This animal has fur.Its body can be sandy, white, brown, tan and grey.","This animal's natural habitat is deserts, desert edges, steppe, mountains, forests and scrublands..",
Eagle Ray,They usually live in schools and can be characterized as solitary.Their aggression level is low.,,"This animal's skin is smooth.Its body can be black, white, blue and grey.",,It has a school lifestyle.
Eagle,,160.934,"This animal has feathers.Its body can be black, yellow, white, brown and grey.","This animal's natural habitat is open waters like rivers, lakes and coastal regions.",It has a solitary lifestyle.
Eared Grebe,They usually live in colonies.Their aggression level is low.,,"This animal has feathers.Its body can be black, yellow, white, red, brown and grey.","This animal's natural habitat is freshwater, saline lakes and coastal estuaries.",It has a flock and colony lifestyle.
Earless Monitor Lizard,They can be characterized as mainly solitary. Their temperament can be characterized as lethargic.Their aggression level is low.,,This animal has scales.Its body can be orange and brown.,This animal's natural habitat is lowlands near streams.,It has a nocturnal and solitary lifestyle.
Earthworm,,,"This animal has skin.Its body can be white, red, brown, pink and grey.",This animal's natural habitat is moist and humus filled soil.,
Earwig,,,This animal has a shell.Its body can be tan and yellow.,This animal's natural habitat is grass and woodlands.,
East Siberian Laika,,48.2802,"This animal has fur.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is siberia.,It has a pack lifestyle.
Eastern Barred Bandicoot,,19.31208,"This animal has hair.Its body can be black, white, brown and grey.","This animal's natural habitat is forest, grassland and desert.",
Eastern Bluebird,,27.35878,"This animal has feathers.Its body can be blue, orange, white and red.","This animal's natural habitat is habitat includes farmland, open country, parks, orchards, backyards and hedgerows.",
Eastern Box Turtle,They can be characterized as solitary.Their aggression level is low.,,"This animal has a hard outer shell.Its body can be orange, black, yellow and brown.",This animal's natural habitat is terrestrial habitats close to ponds and wetlands.,It has a diurnal lifestyle.
Eastern Brown Snake,,,,,
Eastern Chipmunk,,28.96812,"This animal has fur.Its body can be yellow, dark, white, brown and grey-brown.","This animal's natural habitat is urban, suburban parks, backyards, human habitations and deciduous woods.",
Eastern Coral Snake,,,"This animal has scales.Its body can be black, yellow, white and red.",,
Eastern Cottontail,They can be characterized as social.Their aggression level is low.,,"This animal has fur.Its body can be red, white, brown and grey.","This animal's natural habitat is fields, meadows, wetlands, marshes and woods.",It has a crepuscular lifestyle.
Eastern Diamondback Rattlesnake,They can be characterized as solitary. Their temperament can be characterized as a little prickly but reclusive.Their aggression level is medium.,,"This animal has scales.Its body can be black, white, brown, tan and grey.",,"It has a diurnal, season, crepuscular and nocturnal lifestyle."
Eastern Dobsonfly,They usually live in infestations.Their aggression level is medium.,,,This animal's natural habitat is freshwater bodies that have high concentrations of dissolved oxygen.,It has a nocturnal lifestyle.
Eastern Fence Lizard,,,"This animal has scales.Its body can be blue, black, brown and grey.","This animal's natural habitat is forest, grassland and and shrublands.",It has a diurnal lifestyle.
Eastern Glass Lizard,,6.43736,"This animal has scales.Its body can be black, yellow, green, white and brown.","This animal's natural habitat is wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks and coastal dunes.",
Eastern Gorilla,,40.2335,"This animal has hair.Its body can be black, brown and grey.",This animal's natural habitat is tropical forest and jungles in mountainous regions.,It has a social lifestyle.
Eastern Gray Squirrel,,32.1868,This animal has fur.Its body can be grey-brown and grey.,This animal's natural habitat is mature woodlands.,
Eastern Green Mamba,,,,This animal's natural habitat is in leaf litter in a tree cavity.,It has a diurnal lifestyle.
Eastern Hognose Snake,They usually live in communal dens and can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, dark, green, red, brown, cream, tan and grey.","This animal's natural habitat is sand, loose soil and rotten wood.","It has a season, crepuscular and nocturnal lifestyle."
Eastern Indigo Snake,,,"This animal has scales.Its body can be black, red, purple, orange, blue and cream.",,It has a diurnal lifestyle.
Eastern Kingbird,,,"This animal has feathers.Its body can be black, white, dark and grey.",This animal's natural habitat is open areas with trees and shrubs.,It has a pair lifestyle.
Eastern Lowland Gorilla,,40.2335,"This animal has hair.Its body can be black, brown and grey.",This animal's natural habitat is tropical forest and jungles in mountainous regions.,It has a social lifestyle.
Eastern Meadowlark,,38.62416,,"This animal's natural habitat is prairies, meadows, fields and and grasslands..",
Eastern Phoebe,,,This animal has feathers.Its body can be grey-brown and cream.,"This animal's natural habitat is forests, swamps, marshes, gardens, streams and and other agricultural areas.",
Eastern Racer,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be black, red, olive, blue, brown, dull and grey.",,It has a diurnal lifestyle.
Eastern Rat Snake,,,"This animal has scales.Its body can be black, yellow, orange, tan and grey.",,It has a diurnal and crepuscular lifestyle.
Eastern Tiger Snake,They can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be black, olive, light-brown and grey.",This animal's natural habitat is grasslands and coastal areas.,It has a diurnal lifestyle.
Eastern Turkey Wild Turkey,,,This animal has feathers.Its body can be black and grey-brown.,"This animal's natural habitat is pastures, fields and and orchards.",It has a diurnal lifestyle.
Eastern Woodrat,,,This animal has hair.Its body can be grey-brown.,"This animal's natural habitat is forest, caves, shrublands, grasslands, wetlands and and rocky outcrops.",
Echidna,,28.96812,"This animal's skin is spiky.Its body can be black, white and brown.",This animal's natural habitat is cool and dry forests.,It has a solitary lifestyle.
Eclectus Parrot,,64.3736,"This animal's skin is leather.Its body can be blue, green and red.",This animal's natural habitat is rainforests.,
Edible Frog,,8.0467,"This animal's skin is permeable.Its body can be tan, black, green and brown.",This animal's natural habitat is woodland swamps and ponds.,It has a diurnal lifestyle.
Eel Catfish,,,"This animal has scales.Its body can be brown, black and dark.",This animal's natural habitat is muddy freshwater wetlands..,
Eel,,32.1868,This animal's skin is smooth.Its body can be multi-colored.,"This animal's natural habitat is ocean, river and freshwater.",
Eelpout,,,,This animal's natural habitat is arctic and sub-arctic waters.,
Egret,,51.49888,"This animal has feathers.Its body can be orange, black, yellow and white.","This animal's natural habitat is ponds, streams, lakes and marshes.",It has a diurnal lifestyle.
Egyptian Cobra,,,,,
Egyptian Goose,,112.6538,This animal has feathers.Its body can be white and brown.,"This animal's natural habitat is open wetland areas such as rivers, estuaries, marshes and lakes.",
Egyptian Mau,,,"This animal has hair.Its body can be silver, white, blue and grey.",,
Egyptian Tortoise,They usually live in groups and can be characterized as solitary. Their temperament can be characterized as mild-tempered.Their aggression level is low.,,"This animal has a hard outer shell.Its body can be black, yellow, dark, brown and grey.",This animal's natural habitat is arid and semi-arid lands on the edge of the mediterranean sea.,It has a diurnal lifestyle.
Egyptian Vulture,,,"This animal has feathers.Its body can be black, yellow and white.","This animal's natural habitat is deserts, fields and and pastures.",It has a diurnal lifestyle.
Eider,,64.3736,"This animal has feathers.Its body can be black, yellow, green, white, red, blue and grey.",This animal's natural habitat is arctic tundra and rocky coastlines.,It has a diurnal lifestyle.
Eland,,40.2335,This animal has fur.Its body can be tawny and white.,"This animal's natural habitat is grasslands, woodlands, mountains and and savannas..",
Elasmosaurus,,,,,
Elasmotherium,,40.2335,,This animal's natural habitat is mammoth steppe.,
Electric Catfish,,,"This animal has skin.Its body can be white, red, cream, brown and grey.",This animal's natural habitat is african rivers and lakes.,
Electric Eel,,8.0467,"This animal has skin.Its body can be orange, yellow, brown and grey.",This animal's natural habitat is murky water.,
Elegant Tern,,38.62416,"This animal has feathers.Its body can be black, white and grey.",This animal's natural habitat is lagoons and rocky coastal areas.,
Elephant Beetle,They can be characterized as solitary.Their aggression level is low.,,This animal has a shell.Its body can be black and yellow.,"This animal's natural habitat is tropical rainforest in mexico, central america and south america.",It has a diurnal and nocturnal lifestyle.
Elephant Bird,,,,This animal's natural habitat is forested habitats.,It has a crepuscular and nocturnal lifestyle.
Elephant Fish,They can be characterized as solitary.Their aggression level is low.,3.21868,"This animal's skin is smooth.Its body can be blue, black and brown.",This animal's natural habitat is sandy floor of the ocean.,
Elephant Seal,,19.31208,"This animal has fur.Its body can be tan, black, brown and grey.",This animal's natural habitat is warm coastal waters close to land.,It has a herd lifestyle.
Elephant Shrew,,12.87472,"This animal has fur.Its body can be black, white, brown, tan and grey.","This animal's natural habitat is forest, woodland and grassland.",It has a solitary lifestyle.
Elephant,,40.2335,This animal's skin is leather.Its body can be grey.,This animal's natural habitat is rainforest and flood plains.,It has a herd lifestyle.
Elf Owl,,,"This animal has feathers.Its body can be black, white, brown and grey.",This animal's natural habitat is foothill canyons and saguaros deserts.,It has a nocturnal lifestyle.
Elk,,64.3736,This animal has hair.Its body can be brown.,"This animal's natural habitat is mountain meadows, forests and forest edges.",
Ember Tetra,,,This animal has scales.Its body can be orange.,This animal's natural habitat is araguaia river basin.,It has a diurnal and crepuscular lifestyle.
Embolotherium,,,,This animal's natural habitat is wetlands and swamps.,
Emerald Toucanet,They usually live in pairs or flocks.Their aggression level is low.,,This animal has feathers.Its body can be green.,"This animal's natural habitat is canopy of trees in cloud forest, rainforest, or forested areas in shrublands, wetlands and generally at elevations from 2,000 to 10,000 feet.",It has a diurnal lifestyle.
Emerald Tree Boa,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be green, white and red.",,It has a nocturnal lifestyle.
Emerald Tree Monitor,,35.40548,This animal has scales.Its body can be green.,This animal's natural habitat is tropical rainforests.,
Emperor Angelfish,They can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be black, yellow, white and blue.",This animal's natural habitat is shallow warm tropical seas.,It has a solitary lifestyle.
Emperor Goose,,,"This animal has feathers.Its body can be black, white, orange, blue, pink and grey.",This animal's natural habitat is arctic tundra near water.,It has a diurnal lifestyle.
Emperor Penguin,,24.1401,"This animal has feathers.Its body can be orange, black, yellow and white.",This animal's natural habitat is compact sea-ice and ocean.,It has a diurnal lifestyle.
Emperor Tamarin,,38.62416,"This animal has fur.Its body can be black, white, brown and grey.",This animal's natural habitat is lowland tropical forest.,It has a troop lifestyle.
Emu,,40.2335,"This animal has feathers.Its body can be black, brown and grey.",This animal's natural habitat is open grasslands with bushes close to water.,It has a flock lifestyle.
Enchi Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be gold, beige, yellow, dark, light-brown, orange, golden, brown and tan.","This animal's natural habitat is grasslands, savannas and forests.",It has a nocturnal lifestyle.
English Bulldog,,,,,
English Cocker Spaniel,,,,,
English Cream Golden Retriever,,,This animal has hair.Its body can be gold and cream.,,
English Crested Guinea Pig,,,"This animal has fur.Its body can be black, dark, white, orange and brown.",,It has a diurnal lifestyle.
English Foxhound,,,This animal has hair.Its body can be multi-colored.,,
English Longhorn Cattle,,40.2335,,This animal's natural habitat is grasslands.,It has a diurnal and herd lifestyle.
English Pointer,,,,,
English Setter,,,This animal has hair.Its body can be multi-colored.,,
English Shepherd,,,"This animal has hair.Its body can be tan, black, white and brindle.",,
English Springer Spaniel,,,,,
English Toy Terrier,,,,,
Entlebucher Mountain Dog,,,"This animal has hair.Its body can be tan, black and white.",,
Epagneul Pont Audemer,,,,,
Epicyon Haydeni,They usually live in packs.Their aggression level is high.,,,This animal's natural habitat is north america.,
Epidexipteryx,They usually live in herds.Their aggression level is medium.,,,This animal's natural habitat is areas with forests and trees.,
Equatorial Spitting Cobra,,,,"This animal's natural habitat is 1,500 meters above sea level in tropical forests, in urban areas such as gardens and parks.",It has a diurnal lifestyle.
Equus Giganteus,,,,This animal's natural habitat is grasslands and prairies of north america.,
Ermine,,12.87472,"This animal has fur.Its body can be black, white and brown.",This animal's natural habitat is woodlands and forests.,
Eryops,,,,"This animal's natural habitat is marshlands, swamps and other locations close to water bodies.",
Escolar,,,"This animal has scales.Its body can be black, brown and grey.",This animal's natural habitat is temperate and tropical oceans save the northern indian ocean.,
Eskimo Dog,,,,,
Eskipoo,,,"This animal has hair.Its body can be black, dark, white, light-brown, brown, cream and grey.",,
Estrela Mountain Dog,,,,,
Euoplocephalus,They usually live in groups and can be characterized as solitary.Their aggression level is low.,,,This animal's natural habitat is cretaceous north america.,
Eurasian Beaver,,40.2335,This animal has fur.Its body can be fawn and light-brown.,This animal's natural habitat is ponds and lakes.,
Eurasian Bullfinch,They usually live in pairs or flocks. Their temperament can be characterized as shy.Their aggression level is low.,,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is mixed woodland, especially hedgerows; edge; parks and gardens; orchards.","It has a flock, diurnal and pair lifestyle."
Eurasian Collared Dove,They usually live in colonial nests. Their temperament can be characterized as aggressve and territorial.Their aggression level is high.,,This animal has feathers.Its body can be grey.,This animal's natural habitat is agricultural and suburban or coastal areas.,"It has a pair, diurnal and colony lifestyle."
Eurasian Eagle Owl,They usually live in pairs. Their temperament can be characterized as sedentary.Their aggression level is medium.,,"This animal has feathers.Its body can be dark, tawny, beige and brown.",This animal's natural habitat is rocky and steep terrain usually near forested areas..,It has a season and nocturnal lifestyle.
Eurasian Jay,,32.1868,"This animal has feathers.Its body can be blue, black, white and brown.",This animal's natural habitat is mixed forests and grasslands.,
Eurasian Lynx,,,"This animal has fur.Its body can be black, yellow, red and grey.",This animal's natural habitat is forests and mountains.,
Eurasian Nuthatch,,20.92142,"This animal has feathers.Its body can be orange, white, blue and grey.",This animal's natural habitat is woodlands and old trees.,
Eurasian Sparrowhawk,,78.85766,"This animal has feathers.Its body can be yellow, red, orange, brown and grey.","This animal's natural habitat is coniferous woodlands, parks and gardens.",It has a diurnal lifestyle.
Eurasian Wolf,,,"This animal has fur.Its body can be black, white, red, tawny, cream and grey.","This animal's natural habitat is tundra, plains, scrublands and mountains..",
Eurasier,,,"This animal has fur.Its body can be dark, light-brown, caramel, tawny, brown and white-brown.",,
European Bee Eater,,46.67086,"This animal has feathers.Its body can be black, yellow, white, red and blue.",This animal's natural habitat is grassland and savannahs.,
European Corn Borer,They can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be yellow and brown.,This animal's natural habitat is 0.75-1 in.,It has a nocturnal lifestyle.
European Goldfinch,,,"This animal has feathers.Its body can be black, yellow, white, red and brown.","This animal's natural habitat is woodlands, farmlands and forest edges.",It has a diurnal lifestyle.
European Polecat,,37.01482,"This animal has fur.Its body can be silver, black and red.","This animal's natural habitat is wetlands, marshes and coastal cliffs.",
European Robin,,56.3269,"This animal has feathers.Its body can be orange, white, brown and grey.","This animal's natural habitat is gardens, farms, woods and heathland.",
European Starling,,,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is fields, parks and lawns.",It has a social and group lifestyle.
European Wildcat,,,,This animal's natural habitat is mainly forests.,
Eurypterus,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has an exoskeleton.Its body can be dark, black, brown and grey.",This animal's natural habitat is marine.,
Evening Bat,,61.15492,"This animal has fur.Its body can be dark, light, brown and grey.","This animal's natural habitat is forests, wetlands and open areas.",
Evening Grosbeak,,,"This animal has feathers.Its body can be yellow, white, olive, brown and grey.",This animal's natural habitat is coniferous forests.,It has a diurnal lifestyle.
Executioner Wasp,They usually live in colonial nests.Their aggression level is medium.,,This animal has an exoskeleton.Its body can be yellow.,This animal's natural habitat is central and south america.,It has a social lifestyle.
Eyelash Viper,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, green, red, blue, brown and pink.",,It has a nocturnal lifestyle.
Fainting Goat,,24.1401,"This animal has fur.Its body can be black, fawn, dark, white, brown, tan and grey.",This animal's natural habitat is open pastures.,It has a domesticated lifestyle.
Fairy Wren,,,,This animal's natural habitat is forests and grasslands.,It has a diurnal lifestyle.
Falcon,,321.868,"This animal has feathers.Its body can be black, yellow, white, brown and grey.",This animal's natural habitat is high areas like mountains and cliffs.,It has a solitary lifestyle.
Fallow Deer,,48.2802,"This animal has hair.Its body can be tan, black, white and brown.","This animal's natural habitat is forests, grasslands and low mountains.",
False Cobra,,,,This animal's natural habitat is deserts and semi-deserts.,
False Coral Snake,,,This animal has scales.Its body can be black and red.,,
False Killer Whale,,28.96812,"This animal has skin.Its body can be black, white and grey.",This animal's natural habitat is coastal and deep ocean regions.,
False Water Cobra,,,,,It has a diurnal lifestyle.
False Widow Spider,,,This animal has an exoskeleton.Its body can be red and brown.,This animal's natural habitat is while they prefer living indoors and these insects can be found in many outdoor ecosystems.,
Fancy Mouse,They can be characterized as social. Their temperament can be characterized as docile.Their aggression level is low.,12.87472,This animal has fur.Its body can be multi-colored.,This animal's natural habitat is fully domesticated artificial habitat.,It has a nocturnal lifestyle.
Fangtooth,,,"This animal has scales.Its body can be black, brown and grey.",This animal's natural habitat is deep ocean.,
Feather Star,,,,This animal's natural habitat is ocean and ocean floor.,It has a nocturnal lifestyle.
Feist,,,This animal has hair.Its body can be white and brown.,,
Fennec Fox,,40.2335,"This animal has fur.Its body can be sandy, white and cream.",This animal's natural habitat is sandy and semi-arid desert.,It has a nocturnal lifestyle.
Fer De Lance Snake,They can be characterized as solitary.Their aggression level is high.,,"This animal has scales.Its body can be green, olive, brown and grey.",,It has a nocturnal lifestyle.
Ferret,,24.1401,"This animal has fur.Its body can be tan, black, brown and grey.",This animal's natural habitat is forest and grasslands.,It has a solitary lifestyle.
Ferruginous Hawk,,241.401,"This animal has feathers.Its body can be black, red, white and brown.",This animal's natural habitat is open dry plains.,
Fiddler Crab,,,"This animal has an exoskeleton.Its body can be black, yellow, purple, blue, brown and grey.",This animal's natural habitat is sandy beaches and salt or brackish water.,
Field Cuckoo Bumblebee,They can be characterized as solitary. Their temperament can be characterized as solitary.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, yellow, dark, white, orange and brown.",This animal's natural habitat is fields and open grassy areas.,It has a diurnal lifestyle.
Field Spaniel,,,,,
Fierce Snake,,,,,
Figeater Beetle,They can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be green.,This animal's natural habitat is usually found in association with fruit trees.,It has a diurnal lifestyle.
Fila Brasileiro,,57.93624,"This animal has hair.Its body can be brindle, black, yellow, fawn, light, red and grey.",,
Fin Whale,,40.2335,"This animal's skin is smooth.Its body can be black, white, blue and grey.",This animal's natural habitat is deep offshore waters.,It has a herd lifestyle.
Finch,"They usually live in colonial nests, pairs or flocks.Their aggression level is high.",,This animal has feathers.Its body can be multi-colored.,This animal's natural habitat is usually wooded areas.,"It has a flock, diurnal and pair lifestyle."
Finnish Lapphund,"They usually live in packs. Their temperament can be characterized as alert, friendly, agile, busy, intelligent, dependent and gentle.Their aggression level is low.",48.2802,This animal has hair.Its body can be multi-colored.,,It has a pack lifestyle.
Finnish Spitz,,,This animal has hair.Its body can be gold and red.,,
Fire Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, hardy and curious.Their aggression level is low.",,"This animal has scales.Its body can be beige, yellow, dark, red, black-brown, light-brown, golden, brown, cream and tan.","This animal's natural habitat is savanna, grassland and forests.",It has a nocturnal lifestyle.
Fire Bellied Toad,,8.0467,"This animal's skin is permeable.Its body can be black, yellow, green, red, orange, brown and grey.","This animal's natural habitat is forests, jungle and marshes.",It has a solitary lifestyle.
Fire Eel,,,"This animal has scales.Its body can be orange, red, brown and grey.",This animal's natural habitat is rivers and lakes.,
Fire Salamander,,,"This animal's skin is permeable.Its body can be orange, black, yellow and red.",This animal's natural habitat is forests.,
Firefly Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be gold, black, yellow, dark, black-brown and brown.","This animal's natural habitat is grasslands, savannas and forests.",It has a nocturnal lifestyle.
Firefly,,,"This animal has an exoskeleton.Its body can be black, yellow, red and brown.","This animal's natural habitat is forests, fields, meadows and and other habitats.",
Fish,,,,,
Fisher,,,"This animal has fur.Its body can be gold, black, white, brown and silver.",This animal's natural habitat is forests.,
Fishing Cat,,54.71756,This animal has fur.Its body can be olive-grey and black.,This animal's natural habitat is variety of wetland habitats.,It has a nocturnal lifestyle.
Fishing Spiders,,,"This animal has an exoskeleton.Its body can be dark, black and brown.",This animal's natural habitat is near bodies of water.,It has a solitary lifestyle.
Flamingo,,49.88954,"This animal has feathers.Its body can be orange, pink, white and blue.",This animal's natural habitat is large lakes and plant less lagoons.,It has a flock lifestyle.
Flat Coated Retriever,,,,,
Flathead Catfish,,,,,It has a nocturnal lifestyle.
Flea Beetle,They usually live in infestations.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be blue, dark, black and brown.",This animal's natural habitat is on the leaves and stem of various host plants.,It has a diurnal lifestyle.
Flea,,6.839695,"This animal has an exoskeleton.Its body can be black, red and brown.",This animal's natural habitat is mammal and bird hosts in various habitats.,
Fleckvieh Cattle,They usually live in herds.Their aggression level is low.,,,This animal's natural habitat is open plains.,It has a diurnal and herd lifestyle.
Florida Gar,,,,"This animal's natural habitat is rivers, lakes, canals and and wetlands.",
Florida Mouse,,,This animal has fur.Its body can be brown and grey.,"This animal's natural habitat is central, panhandle florida, in dry, sparsely vegetated regions and and in highlands with minimal tree coverage..",It has a nocturnal lifestyle.
Florida Panther,,40.2335,This animal has hair.Its body can be tan and white.,"This animal's natural habitat is forests, wetlands and and grasslands.",
Florida Woods Cockroach,,4.82802,This animal has an exoskeleton.Its body can be brown.,,
Flounder Fish,,,"This animal has scales.Its body can be sandy, light, green, dark, white, light-brown, olive-grey, tan, grey-brown and grey.",,It has a nocturnal lifestyle.
Flounder,,,"This animal has scales.Its body can be green, white, orange, blue, brown and tan.","This animal's natural habitat is coastal waters near docks, bridges and or reefs.",
Flour Beetle,,,This animal has an exoskeleton.Its body can be dark and brown.,"This animal's natural habitat is found in silos, warehouses, food storage facilties, pantries and cupboards.",
Flowerhorn Fish,,,"This animal has scales.Its body can be black, green, white, red, orange and blue.",This animal's natural habitat is freshwater.,
Fluke Fish,,,This animal has hair.Its body can be brown.,"This animal's natural habitat is near shore during summers, offshore during fall and winter.",
Fly,,,"This animal has hair.Its body can be blue, black and brown.",This animal's natural habitat is close to organic waste.,
Flycatcher,,,This animal has feathers.Its body can be multi-colored.,This animal's natural habitat is usually in trees.,It has a diurnal and nocturnal lifestyle.
Flying Fish,,56.3269,"This animal has scales.Its body can be silver, black, white and blue.",This animal's natural habitat is oceans.,
Flying Lemur,,36.21015,"This animal has fur.Its body can be black, white, red, brown and grey.",This animal's natural habitat is tropical rain forests.,
Flying Snake,,,"This animal has scales.Its body can be gold, black, green and red.","This animal's natural habitat is forests, jungles of southeast asia, india, sri lanka and and china.",
Flying Squirrel,,24.1401,"This animal has fur.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is forest and woodland.,It has a solitary lifestyle.
Football Fish,,,This animal has scales.Its body can be black and brown.,"This animal's natural habitat is pacific, atlantic and and indian oceans.",
Forest Cobra,,,,This animal's natural habitat is savannas and lowland forests.,It has a diurnal lifestyle.
Forest Cuckoo Bumblebee 2,They usually live in colonies. Their temperament can be characterized as social.Their aggression level is medium.,,"This animal has an exoskeleton.Its body can be black, yellow, white, orange, cream and brown.",This animal's natural habitat is woodlands and green spaces.,It has a diurnal lifestyle.
Formosan Mountain Dog,,,"This animal has hair.Its body can be fawn, black, white and brindle.",,
Fossa,,56.3269,"This animal has fur.Its body can be black, red and brown.",This animal's natural habitat is dense tropical forest.,It has a nocturnal lifestyle.
Fox Snakes,,,"This animal has scales.Its body can be chestnut, beige, brown and grey.",,"It has a diurnal, season and nocturnal lifestyle."
Fox Squirrel,,27.35878,This animal has fur.Its body can be grey-brown and brown.,This animal's natural habitat is leaf nests and tree dens.,
Fox Terrier,,,,,
Fox,,46.67086,"This animal has fur.Its body can be tan, black, red and brown.",This animal's natural habitat is woodland areas and urban parks.,It has a solitary lifestyle.
Freeway Ball Python,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be tan, yellow and brown.",,It has a nocturnal lifestyle.
French Bulldog Mix,,,This animal has fur.Its body can be multi-colored.,,It has a diurnal lifestyle.
French Bulldog,,,"This animal has hair.Its body can be fawn, brindle, white and tan.",,
French Lop,They usually live in herds.Their aggression level is low.,,"This animal has fur.Its body can be black, chocolate, fawn, light, white, blue, brown and grey.",,It has a crepuscular lifestyle.
Frenchton,,19.31208,"This animal has hair.Its body can be brindle, black, white, red, blue, brown and cream.",,
Frengle,,,"This animal has hair.Its body can be brindle, cream and brown.",,
Freshwater Crocodile,,16.994630400000002,"This animal has plate-like scales.Its body can be dark, light-brown, olive, brown, dull and grey.","This animal's natural habitat is rivers, billabongs, swamps, lagoons and other bodies of fresh water.",
Freshwater Drum,,,,,It has a group lifestyle.
Freshwater Eel,,3.8624159999999996,,"This animal's natural habitat is rivers, streams, and other freshwater areas, except for the pacific coast of the americas and the south atlantic coasts.",
Freshwater Jellyfish,,7.402963999999999,,,
Freshwater Sunfish,They can be characterized as sociable.Their aggression level is medium.,,"This animal has scales.Its body can be light, green, red, olive-grey, brown, silver, grey-brown and grey.",,It has a diurnal lifestyle.
Frigatebird,,14.48406,"This animal has feathers.Its body can be black, red, white and brown.",This animal's natural habitat is tropical coasts and islands.,It has a colony lifestyle.
Frilled Lizard,,48.2802,"This animal has scales.Its body can be tan, black, yellow and brown.",This animal's natural habitat is tropical forests and woodland.,It has a solitary lifestyle.
Frilled Shark,,,"This animal has scales.Its body can be dark, brown and grey.",This animal's natural habitat is deep sea.,
